Ano;Mês;Data;Distrito;Concelho;Freguesia;Nível de Tensão;Energia Ativa (kWh);CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia
2024;02;2024-02;LISBOA;Mafra;UF IGREJA NOVA E CHELEIROS;Baixa Tensão;364510.166;11;1109;110920
2024;02;2024-02;LISBOA;Torres Vedras;RAMALHAL;Baixa Tensão;249883.614;11;1113;111311
2024;02;2024-02;PORTO;Felgueiras;REVINHADE;Baixa Tensão;84682.395;13;1303;130319
2024;02;2024-02;SETUBAL;Moita;MOITA;Baixa Tensão;1181619.294;15;1506;150603
2024;02;2024-02;SETUBAL;Setúbal;GAMBIA-PONTES-ALTO DA GUERRA;Baixa Tensão;485380.545;15;1512;151207
2024;02;2024-02;VIANA DO CASTELO;Arcos de Valdevez;UF TAVORA;Baixa Tensão;60946.592;16;1601;160163
2024;02;2024-02;VILA REAL;Boticas;CODESSOSO CURROS FIAES TAMEGA;Baixa Tensão;8145.448;17;1702;170220
2024;02;2024-02;VILA REAL;Chaves;UF CALVAO E SOUTELINHO DA RAIA;Baixa Tensão;27174.613;17;1703;170356
2024;02;2024-02;VISEU;Mortágua;UF MORTAGUA REMIGIO CORTEG ALM;Muito Alta, Alta e Média Tensões;956301.972;18;1808;180811
2024;02;2024-02;VISEU;Sernancelhe;UF PENSO E FREIXINHO;Muito Alta, Alta e Média Tensões;38202.87;18;1818;181820
2024;01;2024-01;BRAGA;Barcelos;FORNELOS;Baixa Tensão;132194.511;03;0302;030234
2024;01;2024-01;BRAGA;Fafe;TRAVASSOS;Baixa Tensão;239615.506;03;0307;030733
2024;01;2024-01;AVEIRO;Oliveira de Azeméis;UF NOGUEIRA DO CRAVO E PINDELO;Muito Alta, Alta e Média Tensões;1690803.351;01;0113;011320
2024;01;2024-01;BRAGANCA;Bragança;UF PARADA E FAILDE;Baixa Tensão;128798.85;04;0402;040253
2024;01;2024-01;PORTO;Baião;FRENDE;Baixa Tensão;78111.857;13;1302;130204
2024;01;2024-01;PORTO;Baião;UF TEIXEIRA E TEIXEIRO;Muito Alta, Alta e Média Tensões;27476.386;13;1302;130226
2024;01;2024-01;PORTO;Felgueiras;IDAES;Muito Alta, Alta e Média Tensões;130102.494;13;1303;130306
2024;01;2024-01;VISEU;Moimenta da Beira;UF PEVA E SEGOES;Baixa Tensão;90628.842;18;1807;180723
2024;02;2024-02;BRAGA;Barcelos;UF AREIAS VILAR ENCOURADOS;Muito Alta, Alta e Média Tensões;23112.754;03;0302;030292
2024;02;2024-02;GUARDA;Guarda;PEGA;Muito Alta, Alta e Média Tensões;11530.549;09;0907;090729
2024;02;2024-02;PORTO;Penafiel;FONTE ARCADA;Baixa Tensão;82051.574;13;1311;131112
