Ano;Mês;data;Distrito;Concelho;Freguesia;Inclui contador inteligente;Número de CPE's;CodDistrito;CodDistritoConcelho;CodDistritoConcelhoFreguesia;Contrato Ativo
2024;2;2024-02;Porto;Porto;União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória;SIM;43196;13;1312;131217;SIM
2024;2;2024-02;Porto;Póvoa de Varzim;Laundos;NÃO;178;13;1313;131308;SIM
2024;2;2024-02;Santarém;Cartaxo;União das freguesias do Cartaxo e Vale da Pinta;NÃO;430;14;1406;140609;SIM
2024;2;2024-02;Santarém;Torres Novas;Assentiz;NÃO;577;14;1419;141902;SIM
2024;2;2024-02;Setúbal;Alcochete;Alcochete;SIM;7996;15;1502;150201;SIM
2024;2;2024-02;Viana do Castelo;Arcos de Valdevez;Sabadim;NÃO;72;16;1601;160133;SIM
2024;2;2024-02;Viana do Castelo;Arcos de Valdevez;União das freguesias de Vilela, São Cosme e São Damião e Sá;NÃO;65;16;1601;160164;SIM
2024;2;2024-02;Viana do Castelo;Monção;Lara;NÃO;12;16;1604;160410;SIM
2024;2;2024-02;Viana do Castelo;Monção;Podame;NÃO;26;16;1604;160422;SIM
2024;2;2024-02;Viana do Castelo;Paredes de Coura;União das freguesias de Cossourado e Linhares;SIM;381;16;1605;160523;SIM
2024;2;2024-02;Viana do Castelo;Ponte de Lima;Santa Cruz do Lima;SIM;253;16;1607;160743;SIM
2024;2;2024-02;Viana do Castelo;Ponte de Lima;Rebordões (Souto);NÃO;35;16;1607;160747;SIM
2024;2;2024-02;Viana do Castelo;Ponte de Lima;Labrujó, Rendufe e Vilar do Monte;SIM;273;16;1607;160759;SIM
2024;2;2024-02;Viana do Castelo;Viana do Castelo;Castelo do Neiva;SIM;1850;16;1609;160910;SIM
2024;2;2024-02;Viana do Castelo;Vila Nova de Cerveira;Loivo;SIM;471;16;1610;161007;SIM
2024;2;2024-02;Viana do Castelo;Vila Nova de Cerveira;União das freguesias de Vila Nova de Cerveira e Lovelhe;SIM;1555;16;1610;161019;SIM
2024;2;2024-02;Vila Real;Boticas;Pinho;SIM;324;17;1702;170213;SIM
2024;2;2024-02;Vila Real;Chaves;Vilas Boas;NÃO;103;17;1703;170347;SIM
2024;2;2024-02;Vila Real;Mondim de Basto;São Cristóvão de Mondim de Basto;NÃO;208;17;1705;170505;SIM
2024;2;2024-02;Vila Real;Montalegre;Outeiro;SIM;59;17;1706;170619;SIM
2024;2;2024-02;Vila Real;Murça;Murça;NÃO;59;17;1707;170705;SIM
2024;2;2024-02;Vila Real;Ribeira de Pena;Alvadia;NÃO;20;17;1709;170901;SIM
2024;2;2024-02;Vila Real;Valpaços;Vilarandelo;SIM;709;17;1712;171231;SIM
2024;2;2024-02;Vila Real;Vila Pouca de Aguiar;Bornes de Aguiar;NÃO;145;17;1713;171303;SIM
2024;2;2024-02;Vila Real;Vila Pouca de Aguiar;Alvão;NÃO;307;17;1713;171319;SIM
2024;2;2024-02;Vila Real;Vila Real;União das freguesias de Pena, Quintã e Vila Cova;SIM;531;17;1714;171436;SIM
2024;2;2024-02;Viseu;Carregal do Sal;Oliveira do Conde;NÃO;120;18;1802;180204;SIM
2024;2;2024-02;Viseu;Castro daire;União das freguesias de Mezio e Moura Morta;SIM;90;18;1803;180324;SIM
2024;2;2024-02;Viseu;Moimenta da Beira;Sever;NÃO;107;18;1807;180719;SIM
2024;2;2024-02;Viseu;Moimenta da Beira;União das freguesias de Peva e Segões;SIM;445;18;1807;180723;SIM
2024;2;2024-02;Viseu;Penalva do Castelo;Esmolfe;SIM;358;18;1811;181103;SIM
2024;2;2024-02;Viseu;Penedono;Souto;SIM;173;18;1812;181209;SIM
2024;2;2024-02;Viseu;Resende;União das freguesias de Anreade e São Romão de Aregos;NÃO;544;18;1813;181316;SIM
2024;2;2024-02;Viseu;Resende;União das freguesias de Anreade e São Romão de Aregos;SIM;398;18;1813;181316;SIM
2024;2;2024-02;Viseu;Sernancelhe;Arnas;SIM;172;18;1818;181801;SIM
2024;2;2024-02;Viseu;Sernancelhe;Carregal;NÃO;28;18;1818;181802;SIM
2024;2;2024-02;Viseu;Viseu;Mundão;SIM;1348;18;1823;182318;SIM
2024;2;2024-02;Viseu;Viseu;Orgens;SIM;1767;18;1823;182319;SIM
2024;3;2024-03;Aveiro;Anadia;Avelãs de Caminho;SIM;463;01;0103;010304;SIM
2024;3;2024-03;Aveiro;Anadia;União das freguesias de Tamengos, Aguim e Óis do Bairro;NÃO;611;01;0103;010318;SIM
2024;3;2024-03;Aveiro;Arouca;Moldes;NÃO;294;01;0104;010414;SIM
2024;3;2024-03;Aveiro;Santa Maria da Feira;Rio Meão;SIM;1382;01;0109;010921;SIM
2024;3;2024-03;Aveiro;Sever do Vouga;Couto de Esteves;SIM;506;01;0117;011702;SIM
2024;3;2024-03;Aveiro;Vale de Cambra;Junqueira;NÃO;352;01;0119;011905;SIM
2024;3;2024-03;Beja;Beja;União das freguesias de Trigaches e São Brissos;NÃO;53;02;0205;020524;SIM
2024;3;2024-03;Beja;Mértola;Corte do Pinto;SIM;1309;02;0209;020902;SIM
2024;3;2024-03;Beja;Mértola;São João dos Caldeireiros;SIM;487;02;0209;020906;SIM
2024;3;2024-03;Beja;Odemira;Longueira/Almograve;NÃO;597;02;0211;021117;SIM
2024;3;2024-03;Beja;Odemira;Vale de Santiago;NÃO;412;02;0211;021122;SIM
2024;3;2024-03;Braga;Amares;Goães;SIM;307;03;0301;030112;SIM
2024;3;2024-03;Braga;Amares;União das freguesias de Vilela, Seramil e Paredes Secas;NÃO;32;03;0301;030129;SIM
2024;3;2024-03;Braga;Barcelos;Oliveira;SIM;207;03;0302;030254;SIM
2024;3;2024-03;Braga;Barcelos;Silva;NÃO;76;03;0302;030279;SIM
2024;3;2024-03;Braga;Barcelos;União das freguesias de Alvito (São Pedro e São Martinho) e Couto;SIM;303;03;0302;030291;SIM
2024;3;2024-03;Braga;Barcelos;União das freguesias de Carreira e Fonte Coberta;NÃO;484;03;0302;030295;SIM
2024;3;2024-03;Braga;Braga;Tadim;SIM;365;03;0303;030356;SIM
2024;3;2024-03;Braga;Cabeceiras de Basto;Cabeceiras de Basto;SIM;429;03;0304;030406;SIM
2024;3;2024-03;Braga;Celorico de Basto;Agilde;SIM;263;03;0305;030501;SIM
2024;3;2024-03;Braga;Fafe;União de freguesias de Ardegão, Arnozela e Seidões;NÃO;369;03;0307;030740;SIM
2024;3;2024-03;Braga;Guimarães;Mesão Frio;NÃO;78;03;0308;030830;SIM
2024;3;2024-03;Braga;Guimarães;Silvares;NÃO;106;03;0308;030868;SIM
2024;3;2024-03;Braga;Guimarães;União das freguesias de Airão Santa Maria, Airão São João e Vermil;SIM;1338;03;0308;030876;SIM
2024;3;2024-03;Braga;Guimarães;União das freguesias de Sande São Lourenço e Balazar;NÃO;450;03;0308;030886;SIM
2024;3;2024-03;Braga;Vila Nova de Famalicão;Pedome;SIM;824;03;0312;031230;SIM
2024;3;2024-03;Braga;Vila Nova de Famalicão;Riba de Ave;NÃO;149;03;0312;031234;SIM
